"run"	"Année"	"baseline"	"scen"	"ssp"	"recup"	"Bonifié"	"mgmt.unit"	"Superficie"	"Volume"	"Area cut"	"Vol cut"	"min_area"	"min_vol"
1	2035	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	274	4853858	270	4822638	272	4811238
1	2035	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	269	4830117	262	4942865	269	4735058
1	2035	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	272	4792409	266	4708950	271	4792409
1	2040	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	273	4811238	262	4688613	272	4811238
1	2040	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	273	4735058	278	4898444	269	4735058
1	2040	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	273	4806785	274	4900600	271	4792409
1	2045	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	276	4836901	268	4806948	272	4811238
1	2045	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	277	4859286	280	4876610	269	4735058
1	2045	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	278	4802095	280	4901410	271	4792409
1	2050	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	281	4988039	276	4838320	272	4811238
1	2050	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	282	5071588	282	5224757	269	4735058
1	2050	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	282	5023407	286	5187821	271	4792409
1	2055	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	286	5198972	286	5079616	272	4811238
1	2055	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	286	5155158	290	5087684	269	4735058
1	2055	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	284	5099187	286	5176552	271	4792409
1	2060	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	287	5300966	282	5255439	272	4811238
1	2060	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	288	5337847	292	5357296	269	4735058
1	2060	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	287	5284016	286	5282185	271	4792409
1	2065	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	289	5462412	290	5332557	272	4811238
1	2065	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	288	5502669	292	5716542	269	4735058
1	2065	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	288	5540901	280	5345914	271	4792409
