"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.acc"	"area.CT"	"area.salv"	"area.total"	"area.acc.mean"	"area.CT.mean"	"area.salv.mean"	"area.total.mean"
"11161"	2070	"climat stable - reboisement"	"reboisement"	"climat stable"	0	132.8	0.8	132.8	0	131.866666666667	0.666666666666667	131.866666666667
"11161"	2070	"climat stable - recup70%"	"recup70%"	"climat stable"	0	45.2	0	45.2	0	44.8	0.133333333333333	44.8
"11161"	2070	"climat stable - reference"	"reference"	"climat stable"	0	43.6	0	43.6	0	43.8666666666667	0	43.8666666666667
"11161"	2070	"climat stable - reserve"	"reserve"	"climat stable"	0	44.4	0.4	44.4	0	44.1333333333333	0.133333333333333	44.1333333333333
"11161"	2070	"climat stable - sans feu"	"sans feu"	"climat stable"	0	44	0	44	0	44.1333333333333	0	44.1333333333333
"11161"	2075	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	134.4	0	134.4	0	134.4	0.266666666666667	134.4
"11161"	2075	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	44.8	0	44.8	0.133333333333333	44.5333333333333	0.133333333333333	44.6666666666667
"11161"	2075	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0.4	44	0.4	44.4	0.133333333333333	44.1333333333333	0.133333333333333	44.2666666666667
"11161"	2075	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0.4	43.6	0.4	44	0.133333333333333	43.8666666666667	0.266666666666667	44
"11161"	2075	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44.4	0	44.4	0	44.4	0	44.4
"11161"	2075	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	133.2	2.8	133.2	0	132.266666666667	1.2	132.266666666667
"11161"	2075	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0.4	45.2	2.4	45.6	0.266666666666667	44.5333333333333	1.86666666666667	44.8
"11161"	2075	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	44	0	44	0	43.8666666666667	0.133333333333333	43.8666666666667
"11161"	2075	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	43.6	0	43.6	0	44.1333333333333	0.533333333333333	44.1333333333333
"11161"	2075	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44.4	0	44.4	0	44.2666666666667	0	44.2666666666667
"11161"	2075	"climat stable - reboisement"	"reboisement"	"climat stable"	0	129.2	1.2	129.2	0	129.333333333333	0.8	129.333333333333
"11161"	2075	"climat stable - recup70%"	"recup70%"	"climat stable"	0	44.4	0	44.4	0.133333333333333	44.6666666666667	0.8	44.8
"11161"	2075	"climat stable - reference"	"reference"	"climat stable"	0	43.6	0	43.6	0	43.2	0	43.2
"11161"	2075	"climat stable - reserve"	"reserve"	"climat stable"	0	44	0	44	0	44	0.266666666666667	44
"11161"	2075	"climat stable - sans feu"	"sans feu"	"climat stable"	0	44	0	44	0	44	0	44
"11161"	2080	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	132.8	0	132.8	0	133.066666666667	0	133.066666666667
"11161"	2080	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	44	0	44	0	44.1333333333333	0.266666666666667	44.1333333333333
"11161"	2080	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	44.4	0	44.4	0.133333333333333	43.8666666666667	0.133333333333333	44
"11161"	2080	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	43.6	0.4	43.6	0.133333333333333	43.6	0.266666666666667	43.7333333333333
"11161"	2080	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44.4	0	44.4	0	44.5333333333333	0	44.5333333333333
"11161"	2080	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	128.4	0.8	128.4	0	129.066666666667	1.46666666666667	129.066666666667
"11161"	2080	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	44	1.2	44	0.133333333333333	43.8666666666667	1.33333333333333	44
"11161"	2080	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	43.6	0	43.6	0	43.7333333333333	0	43.7333333333333
"11161"	2080	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0	43.6	0.4	43.6	0.133333333333333	42.9333333333333	0.266666666666667	43.0666666666667
"11161"	2080	"SSP3-7.0 - sans feu"	"sans feu"	"SSP3-7.0"	0	44	0	44	0	44.1333333333333	0	44.1333333333333
