"mgmt.unit"	"Année"	"scen"	"Superficie"	"med_area"
"11262"	2090	"SSP3-7.0 - reserve"	15.2	24.8
"11262"	2095	"SSP3-7.0 - reserve"	91.2	24.8
"11262"	2100	"SSP3-7.0 - reserve"	97.2	24.8
"11262"	2025	"SSP3-7.0 - sans coupe"	0	NA
"11262"	2030	"SSP3-7.0 - sans coupe"	56	56.4
"11262"	2035	"SSP3-7.0 - sans coupe"	56.4	56.4
"11262"	2040	"SSP3-7.0 - sans coupe"	28	56.4
"11262"	2045	"SSP3-7.0 - sans coupe"	36	56.4
"11262"	2050	"SSP3-7.0 - sans coupe"	132.4	56.4
"11262"	2055	"SSP3-7.0 - sans coupe"	68.4	56.4
"11262"	2060	"SSP3-7.0 - sans coupe"	94.8	56.4
"11262"	2065	"SSP3-7.0 - sans coupe"	20.4	56.4
"11262"	2070	"SSP3-7.0 - sans coupe"	71.6	56.4
"11262"	2075	"SSP3-7.0 - sans coupe"	93.6	56.4
"11262"	2080	"SSP3-7.0 - sans coupe"	73.2	56.4
"11262"	2085	"SSP3-7.0 - sans coupe"	66	56.4
"11262"	2090	"SSP3-7.0 - sans coupe"	48.4	56.4
"11262"	2095	"SSP3-7.0 - sans coupe"	39.2	56.4
"11262"	2100	"SSP3-7.0 - sans coupe"	20.4	56.4
"11262"	2025	"climat stable - reboisement"	0	NA
"11262"	2030	"climat stable - reboisement"	29.2	38.8
"11262"	2035	"climat stable - reboisement"	75.6	38.8
"11262"	2040	"climat stable - reboisement"	70.8	38.8
"11262"	2045	"climat stable - reboisement"	36.8	38.8
"11262"	2050	"climat stable - reboisement"	44.4	38.8
"11262"	2055	"climat stable - reboisement"	26.4	38.8
"11262"	2060	"climat stable - reboisement"	47.6	38.8
"11262"	2065	"climat stable - reboisement"	56.8	38.8
"11262"	2070	"climat stable - reboisement"	46	38.8
"11262"	2075	"climat stable - reboisement"	32	38.8
"11262"	2080	"climat stable - reboisement"	52	38.8
"11262"	2085	"climat stable - reboisement"	11.2	38.8
"11262"	2090	"climat stable - reboisement"	38.8	38.8
"11262"	2095	"climat stable - reboisement"	34.8	38.8
"11262"	2100	"climat stable - reboisement"	1.6	38.8
"11262"	2025	"climat stable - recup70%"	0	NA
"11262"	2030	"climat stable - recup70%"	44.4	44
"11262"	2035	"climat stable - recup70%"	62.4	44
"11262"	2040	"climat stable - recup70%"	39.2	44
"11262"	2045	"climat stable - recup70%"	47.2	44
"11262"	2050	"climat stable - recup70%"	38.8	44
"11262"	2055	"climat stable - recup70%"	79.6	44
"11262"	2060	"climat stable - recup70%"	24	44
"11262"	2065	"climat stable - recup70%"	54.4	44
"11262"	2070	"climat stable - recup70%"	60.4	44
"11262"	2075	"climat stable - recup70%"	44	44
"11262"	2080	"climat stable - recup70%"	16.4	44
"11262"	2085	"climat stable - recup70%"	36.4	44
"11262"	2090	"climat stable - recup70%"	35.6	44
"11262"	2095	"climat stable - recup70%"	68.8	44
"11262"	2100	"climat stable - recup70%"	10.8	44
"11262"	2025	"climat stable - reference"	0	NA
"11262"	2030	"climat stable - reference"	44.8	44.8
"11262"	2035	"climat stable - reference"	18.8	44.8
"11262"	2040	"climat stable - reference"	54.8	44.8
"11262"	2045	"climat stable - reference"	22.4	44.8
"11262"	2050	"climat stable - reference"	74	44.8
"11262"	2055	"climat stable - reference"	72.8	44.8
"11262"	2060	"climat stable - reference"	76.4	44.8
"11262"	2065	"climat stable - reference"	6.8	44.8
"11262"	2070	"climat stable - reference"	83.6	44.8
"11262"	2075	"climat stable - reference"	14.8	44.8
"11262"	2080	"climat stable - reference"	32	44.8
"11262"	2085	"climat stable - reference"	78.4	44.8
"11262"	2090	"climat stable - reference"	18.8	44.8
"11262"	2095	"climat stable - reference"	64	44.8
"11262"	2100	"climat stable - reference"	1.6	44.8
"11262"	2025	"climat stable - reserve"	0	NA
"11262"	2030	"climat stable - reserve"	93.2	25.6
"11262"	2035	"climat stable - reserve"	14.4	25.6
"11262"	2040	"climat stable - reserve"	32	25.6
"11262"	2045	"climat stable - reserve"	25.6	25.6
"11262"	2050	"climat stable - reserve"	33.6	25.6
"11262"	2055	"climat stable - reserve"	84	25.6
"11262"	2060	"climat stable - reserve"	34.8	25.6
"11262"	2065	"climat stable - reserve"	25.2	25.6
