"mgmt.unit"	"Année"	"scen"	"Historique"	"brfuel"	"Climat"	"Climat&Végétation"
"11161"	2070	"climat stable - sans coupe"	0.00742	0.00911	0.00742	0.00911
"11161"	2070	"climat stable - sans feu"	0.00742	0.00784	0.00742	0.00784
"11161"	2070	"climat stable - sans pert"	0.00742	0.00955	0.00742	0.00955
"11161"	2075	"SSP2-4.5 - reboisement"	0.00742	0.00735	0.00849	0.00844
"11161"	2075	"SSP2-4.5 - recup70%"	0.00742	0.00721	0.00849	0.00829
"11161"	2075	"SSP2-4.5 - reference"	0.00742	0.00726	0.00849	0.00838
"11161"	2075	"SSP2-4.5 - reserve"	0.00742	0.0073	0.00849	0.00837
"11161"	2075	"SSP2-4.5 - sans coupe"	0.00742	0.00858	0.00849	0.00984
"11161"	2075	"SSP2-4.5 - sans feu"	0.00742	0.00759	0.00849	0.00876
"11161"	2075	"SSP2-4.5 - sans pert"	0.00742	0.0092	0.00849	0.01058
"11161"	2075	"SSP3-7.0 - reboisement"	0.00742	0.00728	0.01096	0.01075
"11161"	2075	"SSP3-7.0 - recup70%"	0.00742	0.00717	0.01096	0.01063
"11161"	2075	"SSP3-7.0 - reference"	0.00742	0.00722	0.01096	0.01069
"11161"	2075	"SSP3-7.0 - reserve"	0.00742	0.00718	0.01096	0.01061
"11161"	2075	"SSP3-7.0 - sans coupe"	0.00742	0.00858	0.01096	0.01268
"11161"	2075	"SSP3-7.0 - sans feu"	0.00742	0.00759	0.01096	0.01123
"11161"	2075	"SSP3-7.0 - sans pert"	0.00742	0.00919	0.01096	0.01358
"11161"	2075	"climat stable - reboisement"	0.00742	0.00733	0.00742	0.00733
"11161"	2075	"climat stable - recup70%"	0.00742	0.00739	0.00742	0.00739
"11161"	2075	"climat stable - reference"	0.00742	0.00731	0.00742	0.00731
"11161"	2075	"climat stable - reserve"	0.00742	0.00741	0.00742	0.00741
"11161"	2075	"climat stable - sans coupe"	0.00742	0.00904	0.00742	0.00904
"11161"	2075	"climat stable - sans feu"	0.00742	0.00768	0.00742	0.00768
"11161"	2075	"climat stable - sans pert"	0.00742	0.00943	0.00742	0.00943
