"mgmt.unit"	"Année"	"scen"	"ssp"	"bonif"	"spp"	"area"	"Proportion"
"11161"	2025	"climat stable - reference"	"climat stable"	"reference"	"Résineux"	4223.6	0.624
"11161"	2025	"climat stable - reference"	"climat stable"	"reference"	"Feuillus intolérants"	938.4	0.139
"11161"	2025	"climat stable - reference"	"climat stable"	"reference"	"Plantations résineuses"	1063.2	0.157
"11161"	2025	"climat stable - reserve"	"climat stable"	"reserve"	"Feuillus tolérants"	547.2	0.081
"11161"	2025	"climat stable - reserve"	"climat stable"	"reserve"	"Résineux"	4224.8	0.624
"11161"	2025	"climat stable - reserve"	"climat stable"	"reserve"	"Feuillus intolérants"	936.4	0.138
"11161"	2025	"climat stable - reserve"	"climat stable"	"reserve"	"Plantations résineuses"	1063.6	0.157
"11161"	2025	"climat stable - sans coupe"	"climat stable"	"sans coupe"	"Feuillus tolérants"	535.6	0.079
"11161"	2025	"climat stable - sans coupe"	"climat stable"	"sans coupe"	"Résineux"	4299.2	0.635
"11161"	2025	"climat stable - sans coupe"	"climat stable"	"sans coupe"	"Feuillus intolérants"	917.2	0.135
"11161"	2025	"climat stable - sans coupe"	"climat stable"	"sans coupe"	"Plantations résineuses"	1020	0.151
"11161"	2025	"climat stable - sans feu"	"climat stable"	"sans feu"	"Feuillus tolérants"	544	0.08
"11161"	2025	"climat stable - sans feu"	"climat stable"	"sans feu"	"Résineux"	4223.6	0.624
"11161"	2025	"climat stable - sans feu"	"climat stable"	"sans feu"	"Feuillus intolérants"	940.8	0.139
"11161"	2025	"climat stable - sans feu"	"climat stable"	"sans feu"	"Plantations résineuses"	1063.6	0.157
"11161"	2025	"climat stable - sans pert"	"climat stable"	"sans pert"	"Feuillus tolérants"	532.8	0.079
"11161"	2025	"climat stable - sans pert"	"climat stable"	"sans pert"	"Résineux"	4297.6	0.635
"11161"	2025	"climat stable - sans pert"	"climat stable"	"sans pert"	"Feuillus intolérants"	921.6	0.136
"11161"	2025	"climat stable - sans pert"	"climat stable"	"sans pert"	"Plantations résineuses"	1020	0.151
"11161"	2030	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Feuillus tolérants"	567.2	0.084
"11161"	2030	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Résineux"	3963.2	0.585
"11161"	2030	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Feuillus intolérants"	984.4	0.145
"11161"	2030	"SSP2-4.5 - reboisement"	"SSP2-4.5"	"reboisement"	"Plantations résineuses"	1257.2	0.186
"11161"	2030	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Feuillus tolérants"	585.2	0.086
"11161"	2030	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Résineux"	4075.6	0.602
"11161"	2030	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Feuillus intolérants"	1018.4	0.15
"11161"	2030	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"recup70%"	"Plantations résineuses"	1092.8	0.161
