"Année"	"mgmt.unit"	"scen"	"Bois marchand"	"Bois autre"	"Feuillage"	"Racines grossières"	"Racines fines"	"Bois mort"	"très rapide"	"rapide"	"moyenne"	"lente aérien"	"Produits du bois"	"Atmosphère décomposition"	"Atmosphère perturbation"	"lente souterrain"	"PPN"	"PEN"	"PBN"
2060	"2751"	"SSP2-4.5 - reference"	21.161	10.503	3.398	7.733	1.618	4.83	6.805	7.912	10.739	26.057	0.217616	2.710996	0.054932	80.846	3.151898	0.440902	0.168354
2060	"2751"	"SSP2-4.5 - reserve"	21.536	10.479	3.417	7.822	1.611	5.02	6.767	7.96	10.698	26.003	0.223984	2.715238	0.086725	80.842	3.125805	0.410567	0.099858
2060	"2751"	"SSP2-4.5 - sans coupe"	28.032	11.936	4.172	9.594	1.765	6.528	7.357	7.504	10.304	26.064	0	2.772673	0.092141	80.943	3.185928	0.413255	0.321114
2060	"2751"	"SSP2-4.5 - sans feu"	23.696	10.993	3.717	8.335	1.668	3.623	7.085	8.144	9.622	26.601	0.287845	2.762769	0	80.949	3.205493	0.442724	0.154879
2060	"2751"	"SSP2-4.5 - sans pert"	31.275	12.686	4.592	10.413	1.849	5.27	7.77	7.396	9.216	26.502	0	2.803802	0	81.018	3.260276	0.456474	0.456474
2060	"2751"	"SSP3-7.0 - reboisement"	21.789	10.599	3.459	7.885	1.622	4.481	6.521	7.843	10.256	26.172	0.249334	2.770688	0.037189	80.889	3.158961	0.388273	0.101749
2060	"2751"	"SSP3-7.0 - recup70%"	21.339	10.549	3.412	7.782	1.618	4.541	6.496	7.78	10.417	26.132	0.243414	2.761345	0.04486	80.885	3.163119	0.401775	0.113501
2060	"2751"	"SSP3-7.0 - reference"	20.206	10.19	3.248	7.472	1.578	5.437	6.274	7.983	10.691	25.928	0.232739	2.754619	0.134197	80.877	3.125699	0.371081	0.004145
2060	"2751"	"SSP3-7.0 - reserve"	22.536	10.758	3.539	8.088	1.64	4.763	6.596	7.813	10.296	26.131	0.226094	2.7838	0.060461	80.895	3.17955	0.395749	0.109195
2060	"2751"	"SSP3-7.0 - sans coupe"	26.489	11.679	3.997	9.201	1.741	6.781	6.941	7.236	10.815	25.822	0	2.803729	0.083831	80.901	3.174781	0.371051	0.287221
2060	"2751"	"SSP3-7.0 - sans feu"	23.839	11.052	3.727	8.384	1.672	3.62	6.779	7.947	9.509	26.572	0.282033	2.811726	0	80.964	3.223981	0.412255	0.130222
2060	"2751"	"SSP3-7.0 - sans pert"	31.274	12.681	4.589	10.409	1.849	5.246	7.418	7.222	9.11	26.471	0	2.850631	0	81.033	3.257541	0.406909	0.406909
2060	"2751"	"climat stable - reboisement"	21.268	10.331	3.426	7.655	1.598	4.596	7.834	8.819	10.772	26.309	0.248014	2.605858	0.08035	80.82	3.0547	0.448842	0.120478
2060	"2751"	"climat stable - recup70%"	21.198	10.334	3.416	7.648	1.6	4.659	7.839	8.749	10.904	26.28	0.242071	2.603407	0.093646	80.811	3.064508	0.461101	0.125383
